"Codigo Departamento","Código Municipio","Código Centro Poblado","Nombre Departamento","Nombre Municipio","Nombre Centro Poblado","Tipo"
"05","05001","05001000","Antioquia","MEDELLÍN","MEDELLÍN","CM"
"05","05001","05001001","Antioquia","MEDELLÍN","PALMITAS","C"
"05","05001","05001004","Antioquia","MEDELLÍN","SANTA ELENA","C"
"05","05001","05001005","Antioquia","MEDELLÍN","PEDREGAL ALTO","IPM"
"05","05001","05001009","Antioquia","MEDELLÍN","ALTAVISTA","C"
"05","05001","05001010","Antioquia","MEDELLÍN","AGUAS FRÍAS","CP"
"05","05001","05001012","Antioquia","MEDELLÍN","LA LOMA","CP"
"05","05001","05001013","Antioquia","MEDELLÍN","SAN JOSÉ DEL MANZANILLO","CP"
"05","05001","05001014","Antioquia","MEDELLÍN","BARRO BLANCO","CP"
"05","05001","05001015","Antioquia","MEDELLÍN","EL CERRO","CP"
"05","05001","05001017","Antioquia","MEDELLÍN","EL PATIO","CP"
"05","05001","05001018","Antioquia","MEDELLÍN","EL PLACER","CP"
"05","05001","05001019","Antioquia","MEDELLÍN","EL PLAN","CP"
"05","05001","05001020","Antioquia","MEDELLÍN","EL TESORO","CP"
"05","05001","05001022","Antioquia","MEDELLÍN","LA ALDEA","CP"
"05","05001","05001023","Antioquia","MEDELLÍN","LA CUCHILLA","CP"
"05","05001","05001024","Antioquia","MEDELLÍN","LA FLORIDA","CP"
"05","05001","05001025","Antioquia","MEDELLÍN","LA PALMA","CP"
"05","05001","05001027","Antioquia","MEDELLÍN","LAS PLAYAS","CP"
"05","05001","05001029","Antioquia","MEDELLÍN","PIEDRA GORDA","CP"
"05","05001","05001031","Antioquia","MEDELLÍN","POTRERITO","CP"
"05","05001","05001032","Antioquia","MEDELLÍN","TRAVESIAS","CP"
"05","05001","05001033","Antioquia","MEDELLÍN","URQUITA","CP"
"05","05001","05001034","Antioquia","MEDELLÍN","BARRIOS DE JESÚS","CP"
"05","05001","05001035","Antioquia","MEDELLÍN","BOQUERÓN","CP"
"05","05001","05001036","Antioquia","MEDELLÍN","CHACALTAYA","CP"
"05","05001","05001037","Antioquia","MEDELLÍN","EL CORAZÓN","CP"
"05","05001","05001038","Antioquia","MEDELLÍN","EL JARDÍN","CP"
"05","05001","05001039","Antioquia","MEDELLÍN","EL LLANO 1","CP"
"05","05001","05001040","Antioquia","MEDELLÍN","EL LLANO 2","CP"
"05","05001","05001041","Antioquia","MEDELLÍN","EL UVITO","CP"
"05","05001","05001042","Antioquia","MEDELLÍN","LA AVANZADA","CP"
"05","05001","05001043","Antioquia","MEDELLÍN","LA CRUZ","CP"
"05","05001","05001044","Antioquia","MEDELLÍN","LA ESPERANZA","CP"
"05","05001","05001045","Antioquia","MEDELLÍN","LA FRISOLA","CP"
"05","05001","05001046","Antioquia","MEDELLÍN","LA GABRIELA","CP"
"05","05001","05001047","Antioquia","MEDELLÍN","LA LADERA","CP"
"05","05001","05001048","Antioquia","MEDELLÍN","LA VERDE","CP"
"05","05001","05001049","Antioquia","MEDELLÍN","LA VOLCANA","CP"
"05","05001","05001050","Antioquia","MEDELLÍN","LOS NARANJOS","CP"
